,missing_count,missing_percent
car_availability,407,8.14
transmission,360,7.2
source,87,1.74
body_type,67,1.34
registered_state,7,0.14
registered_city,7,0.14
car_rating,6,0.12
fitness_certificate,3,0.06
reserved,0,0.0
total_owners,0,0.0
is_hot,0,0.0
assured_buy,0,0.0
kms_run,0,0.0
times_viewed,0,0.0
yr_mfr,0,0.0
warranty_avail,0,0.0
car_age_squared,0,0.0
ad_year,0,0.0
ad_month,0,0.0
car_age,0,0.0
km_per_year,0,0.0
log_kms_run,0,0.0
log_km_per_year,0,0.0
age_km_interaction,0,0.0
fuel_type,0,0.0
car_name,0,0.0
owners_per_year,0,0.0
log_times_viewed,0,0.0
high_mileage,0,0.0
is_old_car,0,0.0
is_newer_car,0,0.0
city,0,0.0
rto,0,0.0
variant,0,0.0
model,0,0.0
make,0,0.0
make_model,0,0.0
make_body_type,0,0.0
fuel_transmission,0,0.0
sale_price,0,0.0
