model,MAE,RMSE,R2,MAPE_percent,fit_time_seconds
Stacking Regressor,52938.58123738578,134076.57117758025,0.7477916568370755,10.615297242934307,134.0973937511444
Linear Regression,50516.71602873766,111650.12034695991,0.8251071518716133,10.691326853607382,0.3570106029510498
Ridge Regression,55891.629450555076,135228.96872346636,0.7434375280414092,11.16809100834231,0.17939329147338867
Lasso Regression,59850.96589936002,140381.660783893,0.7235131941583514,12.260134830074431,0.8129072189331055
Histogram Gradient Boosting,60418.6055689005,149549.25789657302,0.6862222215984368,12.948864257667836,25.757004976272583
Extra Trees,63213.24900718795,153603.5042443428,0.6689787255045919,14.243282126990355,46.67418146133423
Random Forest,66089.21517081202,157638.84645746663,0.6513576376502246,15.132039555882052,21.755967617034912
Voting Regressor,69645.33404506328,159370.85692410305,0.6436543391461619,15.39872476085421,16.96297812461853
Gradient Boosting,77480.1908767007,163917.10131795515,0.6230339922970346,17.184821606866112,13.364771842956543
Decision Tree,77073.68718505559,164973.9797149329,0.6181572391109056,17.398118549823263,0.179948091506958
