,count,unique,top,freq,mean,std,min,25%,50%,75%,max
yr_mfr,4499.0,,,,2014.0424538786397,2.8402278898439084,2006.0,2012.0,2014.0,2016.0,2020.0
kms_run,4499.0,,,,62215.29562124917,44025.220588114134,379.0,32244.0,54780.0,82771.0,996609.0
times_viewed,4499.0,,,,1481.9250944654368,2074.866127014619,3.0,554.5,1059.0,1833.0,61930.0
assured_buy,4499,2,True,3807,,,,,,,
is_hot,4499,2,True,4256,,,,,,,
total_owners,4499.0,,,,1.3107357190486775,0.5594078891794433,1.0,1.0,1.0,2.0,6.0
fitness_certificate,4499.0,,,,0.9944432096021338,0.07434474429912932,0.0,1.0,1.0,1.0,1.0
reserved,4499,2,False,3548,,,,,,,
warranty_avail,4499,2,False,4376,,,,,,,
car_age,4499.0,,,,11.957546121360302,2.840227889843909,6.0,10.0,12.0,14.0,20.0
km_per_year,4499.0,,,,4706.017566052508,3128.1318229407257,54.142857142857146,2618.4205882352944,4125.666666666667,6180.526515151516,66440.6
is_old_car,4499.0,,,,0.7839519893309624,0.4115931517286877,0.0,1.0,1.0,1.0,1.0
high_mileage,4499.0,,,,0.48966436985996886,0.49994872862924755,0.0,0.0,0.0,1.0,1.0
car_name,4499,141,maruti swift,361,,,,,,,
fuel_type,4499,5,petrol,2908,,,,,,,
city,4499,13,mumbai,826,,,,,,,
body_type,4452,5,hatchback,2752,,,,,,,
transmission,4224,2,manual,3904,,,,,,,
variant,4499,642,vxi,443,,,,,,,
registered_city,4496,186,delhi,565,,,,,,,
registered_state,4496,14,maharashtra,1272,,,,,,,
rto,4499,222,mh02,240,,,,,,,
source,4439,3,inperson_sale,4258,,,,,,,
make,4499,19,maruti,2039,,,,,,,
model,4499,141,swift,361,,,,,,,
car_availability,4201,4,in_stock,4026,,,,,,,
car_rating,4498,4,great,3894,,,,,,,
brand,4499,19,maruti,2039,,,,,,,
make_model,4499,141,maruti_swift,361,,,,,,,
make_body_type,4499,59,maruti_hatchback,1353,,,,,,,
fuel_transmission,4499,12,petrol_manual,2478,,,,,,,
sale_price,4499.0,,,,423875.4532118249,173328.20514178314,179199.0,291399.0,382499.0,521449.0,965399.0
